starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	78
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	78
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	80	79
Wed May 15 23:32:05 2013	1368660725	1	79	81	79
Wed May 15 23:32:05 2013	1368660725	2	79	81	78
Wed May 15 23:32:05 2013	1368660725	1	79	81	79
Wed May 15 23:32:04 2013	1368660724	7	74	81	73
Wed May 15 23:32:05 2013	1368660725	2	79	81	79
Wed May 15 23:32:05 2013	1368660725	1	79	81	78
Wed May 15 23:32:05 2013	1368660725	1	79	81	79
Wed May 15 23:32:05 2013	1368660725	1	79	81	79
Wed May 15 23:32:05 2013	1368660725	1	79	81	79
Wed May 15 23:32:05 2013	1368660725	2	79	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	79
Wed May 15 23:32:05 2013	1368660725	2	79	81	79
Wed May 15 23:32:05 2013	1368660725	2	79	81	79
Wed May 15 23:32:05 2013	1368660725	2	79	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	79
Wed May 15 23:32:05 2013	1368660725	2	80	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	79
Wed May 15 23:32:05 2013	1368660725	1	80	81	80
Wed May 15 23:32:04 2013	1368660724	7	75	81	74
Wed May 15 23:32:05 2013	1368660725	1	80	81	80
Wed May 15 23:32:05 2013	1368660725	1	80	81	80
Wed May 15 23:32:05 2013	1368660725	1	80	81	80
Wed May 15 23:32:04 2013	1368660724	6	75	82	75
Wed May 15 23:32:05 2013	1368660725	1	80	82	80
Wed May 15 23:32:05 2013	1368660725	1	80	82	80
Wed May 15 23:32:05 2013	1368660725	1	80	82	80
Wed May 15 23:32:05 2013	1368660725	1	80	82	80
Wed May 15 23:32:05 2013	1368660725	1	81	82	80
Wed May 15 23:32:05 2013	1368660725	1	81	82	80
Wed May 15 23:32:04 2013	1368660724	1	81	82	81
Wed May 15 23:32:05 2013	1368660725	1	81	82	81
Wed May 15 23:32:04 2013	1368660724	6	76	82	75
Wed May 15 23:32:05 2013	1368660725	1	81	82	81
Wed May 15 23:32:05 2013	1368660725	1	81	82	81
Wed May 15 23:32:05 2013	1368660725	2	81	82	81
Wed May 15 23:32:04 2013	1368660724	1	81	82	81
Wed May 15 23:32:05 2013	1368660725	2	81	83	81
Wed May 15 23:32:04 2013	1368660724	6	77	83	76
Wed May 15 23:32:05 2013	1368660725	1	81	83	81
Wed May 15 23:32:04 2013	1368660724	1	81	83	81
Wed May 15 23:32:05 2013	1368660725	1	82	83	81
Wed May 15 23:32:05 2013	1368660725	1	82	83	81
Wed May 15 23:32:04 2013	1368660724	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	2	82	83	81
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	1	82	83	82
Wed May 15 23:32:05 2013	1368660725	2	82	83	81
Wed May 15 23:32:05 2013	1368660725	2	82	83	81
Wed May 15 23:32:05 2013	1368660725	2	82	83	81
