starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:33:52 2013	1368660832	1	31	32	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	1	32	33	32
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	30
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	31	33	31
Wed May 15 23:33:52 2013	1368660832	2	32	33	31
Wed May 15 23:33:52 2013	1368660832	1	32	34	31
Wed May 15 23:33:52 2013	1368660832	1	32	34	31
Wed May 15 23:33:52 2013	1368660832	1	33	34	32
Wed May 15 23:33:52 2013	1368660832	1	33	34	33
Wed May 15 23:33:52 2013	1368660832	1	33	35	33
Wed May 15 23:33:52 2013	1368660832	2	33	35	33
Wed May 15 23:33:52 2013	1368660832	2	33	35	33
Wed May 15 23:33:52 2013	1368660832	3	32	35	32
Wed May 15 23:33:52 2013	1368660832	2	34	35	34
Wed May 15 23:33:52 2013	1368660832	2	33	35	33
Wed May 15 23:33:52 2013	1368660832	6	29	36	28
Wed May 15 23:33:52 2013	1368660832	3	33	36	33
Wed May 15 23:33:52 2013	1368660832	1	35	36	34
Wed May 15 23:33:52 2013	1368660832	3	33	36	33
Wed May 15 23:33:52 2013	1368660832	6	30	36	29
Wed May 15 23:33:52 2013	1368660832	1	35	36	35
Wed May 15 23:33:52 2013	1368660832	4	32	36	30
