starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	56	57	56
Wed May 15 23:36:20 2013	1368660980	1	57	57	57
Wed May 15 23:36:20 2013	1368660980	1	57	58	56
Wed May 15 23:36:20 2013	1368660980	1	56	58	56
Wed May 15 23:36:20 2013	1368660980	1	57	58	57
Wed May 15 23:36:20 2013	1368660980	1	57	58	57
Wed May 15 23:36:20 2013	1368660980	1	57	58	57
Wed May 15 23:36:20 2013	1368660980	1	57	58	57
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	58	59	58
Wed May 15 23:36:20 2013	1368660980	1	59	59	59
Wed May 15 23:36:20 2013	1368660980	1	59	60	59
Wed May 15 23:36:20 2013	1368660980	1	59	60	59
Wed May 15 23:36:20 2013	1368660980	1	59	60	59
Wed May 15 23:36:20 2013	1368660980	1	59	60	59
Wed May 15 23:36:20 2013	1368660980	1	59	60	59
Wed May 15 23:36:19 2013	1368660979	6	54	61	54
Wed May 15 23:36:19 2013	1368660979	7	54	61	52
Wed May 15 23:36:19 2013	1368660979	7	54	61	54
Wed May 15 23:36:19 2013	1368660979	6	55	62	55
Wed May 15 23:36:19 2013	1368660979	7	55	62	55
Wed May 15 23:36:20 2013	1368660980	1	61	62	61
Wed May 15 23:36:19 2013	1368660979	7	56	63	56
Wed May 15 23:36:20 2013	1368660980	1	62	63	62
Wed May 15 23:36:20 2013	1368660980	1	62	63	62
Wed May 15 23:36:20 2013	1368660980	1	62	63	61
Wed May 15 23:36:20 2013	1368660980	1	62	63	62
Wed May 15 23:36:20 2013	1368660980	1	62	63	62
Wed May 15 23:36:19 2013	1368660979	7	56	63	56
Wed May 15 23:36:20 2013	1368660980	1	62	63	62
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:20 2013	1368660980	1	62	64	62
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:19 2013	1368660979	7	57	64	57
Wed May 15 23:36:19 2013	1368660979	6	58	64	58
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:20 2013	1368660980	1	63	64	63
Wed May 15 23:36:20 2013	1368660980	1	63	65	63
Wed May 15 23:36:20 2013	1368660980	1	64	65	64
Wed May 15 23:36:19 2013	1368660979	7	58	65	58
Wed May 15 23:36:20 2013	1368660980	1	64	65	64
Wed May 15 23:36:20 2013	1368660980	1	64	65	64
Wed May 15 23:36:20 2013	1368660980	1	64	65	64
Wed May 15 23:36:20 2013	1368660980	1	64	65	64
Wed May 15 23:36:19 2013	1368660979	7	59	65	58
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:19 2013	1368660979	7	59	66	59
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:19 2013	1368660979	6	60	66	59
Wed May 15 23:36:20 2013	1368660980	1	65	66	65
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:19 2013	1368660979	7	60	67	60
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:19 2013	1368660979	6	61	67	61
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:19 2013	1368660979	6	61	67	61
Wed May 15 23:36:20 2013	1368660980	1	66	67	66
Wed May 15 23:36:20 2013	1368660980	1	66	68	66
Wed May 15 23:36:19 2013	1368660979	6	61	68	61
Wed May 15 23:36:20 2013	1368660980	1	67	68	67
Wed May 15 23:36:20 2013	1368660980	1	67	68	67
Wed May 15 23:36:20 2013	1368660980	1	67	68	67
Wed May 15 23:36:20 2013	1368660980	1	67	68	67
Wed May 15 23:36:19 2013	1368660979	6	62	68	62
Wed May 15 23:36:20 2013	1368660980	1	68	69	67
Wed May 15 23:36:19 2013	1368660979	6	62	69	62
Wed May 15 23:36:20 2013	1368660980	1	68	69	68
Wed May 15 23:36:20 2013	1368660980	1	68	69	68
Wed May 15 23:36:20 2013	1368660980	1	67	69	67
Wed May 15 23:36:20 2013	1368660980	1	68	69	68
Wed May 15 23:36:20 2013	1368660980	1	68	69	68
Wed May 15 23:36:19 2013	1368660979	7	63	69	62
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	68	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:19 2013	1368660979	6	63	70	63
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:19 2013	1368660979	6	64	70	64
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	68
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
Wed May 15 23:36:20 2013	1368660980	1	69	70	69
