starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:57:35 2013	1368662255	1	39	40	39
Wed May 15 23:57:35 2013	1368662255	1	40	40	40
Wed May 15 23:57:35 2013	1368662255	1	39	41	39
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	40	41	40
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	41	42	41
Wed May 15 23:57:35 2013	1368662255	1	42	42	42
Wed May 15 23:57:35 2013	1368662255	1	41	43	41
Wed May 15 23:57:35 2013	1368662255	1	41	43	41
Wed May 15 23:57:35 2013	1368662255	1	43	44	43
Wed May 15 23:57:35 2013	1368662255	1	43	44	43
Wed May 15 23:57:35 2013	1368662255	1	44	44	44
Wed May 15 23:57:35 2013	1368662255	1	44	44	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	44	45	44
Wed May 15 23:57:35 2013	1368662255	1	45	45	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:34 2013	1368662254	4	42	46	41
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:34 2013	1368662254	4	42	46	42
Wed May 15 23:57:34 2013	1368662254	4	42	46	42
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	46	46	46
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:35 2013	1368662255	1	45	46	45
Wed May 15 23:57:34 2013	1368662254	3	43	47	43
Wed May 15 23:57:34 2013	1368662254	4	43	47	43
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	4	43	47	43
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	4	43	47	43
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:34 2013	1368662254	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:34 2013	1368662254	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	47	47	46
Wed May 15 23:57:34 2013	1368662254	1	47	47	47
Wed May 15 23:57:34 2013	1368662254	1	46	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	46
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	47	47	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	46	48	46
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	47	48	46
Wed May 15 23:57:34 2013	1368662254	1	47	48	46
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	3	44	48	44
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	46	48	46
Wed May 15 23:57:35 2013	1368662255	1	46	48	46
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
Wed May 15 23:57:34 2013	1368662254	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	47
Wed May 15 23:57:35 2013	1368662255	1	47	48	46
