starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	74	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	74
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	74
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	76	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
Wed May 15 23:21:47 2013	1368660107	1	75	76	75
Wed May 15 23:21:48 2013	1368660108	1	75	76	75
