starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:40:09 2013	1368661209	1	45	45	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	45	46	45
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	47	47	47
Wed May 15 23:40:09 2013	1368661209	1	46	47	46
Wed May 15 23:40:09 2013	1368661209	1	47	47	46
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	47	48	47
Wed May 15 23:40:09 2013	1368661209	1	49	50	49
Wed May 15 23:40:09 2013	1368661209	1	49	50	49
Wed May 15 23:40:09 2013	1368661209	1	49	50	49
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	50	51	50
Wed May 15 23:40:09 2013	1368661209	1	51	52	51
Wed May 15 23:40:09 2013	1368661209	1	50	52	50
Wed May 15 23:40:09 2013	1368661209	1	51	52	51
Wed May 15 23:40:09 2013	1368661209	1	51	52	51
Wed May 15 23:40:09 2013	1368661209	1	51	52	51
Wed May 15 23:40:09 2013	1368661209	1	51	52	51
Wed May 15 23:40:09 2013	1368661209	1	51	53	51
Wed May 15 23:40:09 2013	1368661209	1	51	53	51
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	52	53	52
Wed May 15 23:40:09 2013	1368661209	1	53	54	52
Wed May 15 23:40:09 2013	1368661209	1	53	54	52
Wed May 15 23:40:09 2013	1368661209	1	53	54	52
Wed May 15 23:40:09 2013	1368661209	1	53	54	52
Wed May 15 23:40:09 2013	1368661209	1	53	54	53
Wed May 15 23:40:09 2013	1368661209	1	53	54	53
Wed May 15 23:40:09 2013	1368661209	1	53	54	53
